Country ID,Region/Continent
AFG,Asia
AHO,North America
AIA,North America
ALA,Europe
ALB,Europe
ALG,Africa
AND,Europe
ANG,Africa
ANT,North America
ARG,South America
ARM,Asia/Europe
ARU,North America
ASA,Oceania
ATA,Antarctica
ATF,Antarctica
AUS,Oceania
AUT,Europe
AZE,Asia/Europe
BAH,North America
BAN,Asia
BAR,North America
BDI,Africa
BEL,Europe
BEN,Africa
BER,North America
BES,North America
BHU,Asia
BIH,Europe
BIZ,North America
BLM,North America
BLR,Europe
BOL,South America
BOT,Africa
BRA,South America
BRN,Asia
BRU,Asia
BUL,Europe
BUR,Africa
BVT,Antarctica
CAF,Africa
CAM,Asia
CAN,North America
CAY,North America
CCK,Asia
CGO,Africa
CHA,Africa
CHI,South America
CHN,Asia
CIV,Africa
CMR,Africa
COD,Africa
COK,Oceania
COL,South America
COM,Africa
CPV,Africa
CRC,North America
CRO,Europe
CUB,North America
CUW,North America
CXR,Asia
CYP,Asia/Europe
CZE,Europe
DEN,Europe
DJI,Africa
DMA,North America
DOM,North America
ECU,South America
EGY,Africa
ERI,Africa
ESA,North America
ESH,Africa
ESP,Europe
EST,Europe
ETH,Africa
FIJ,Oceania
FIN,Europe
FLK,South America
FRA,Europe
FRO,Europe
FSM,Oceania
GAB,Africa
GAM,Africa
GBR,Europe
GBS,Africa
GEO,Asia/Europe
GEQ,Africa
GER,Europe
GGY,Europe
GHA,Africa
GIB,Europe
GLP,North America
GRE,Europe
GRL,North America
GRN,North America
GUA,North America
GUF,South America
GUI,Africa
GUM,Oceania
GUY,South America
HAI,North America
HKG,Asia
HMD,Antarctica
HON,North America
HUN,Europe
IMN,Europe
INA,Asia
IND,Asia
IOT,Asia
IRI,Asia
IRL,Europe
IRQ,Asia
ISL,Europe
ISR,Asia
ISV,North America
ITA,Europe
IVB,North America
JAM,North America
JEY,Europe
JOR,Asia
JPN,Asia
KAZ,Asia
KEN,Africa
KGZ,Asia
KIR,Oceania
KOR,Asia
KSA,Asia
KUW,Asia
LAO,Asia
LAT,Europe
LBA,Africa
LBN,Asia
LBR,Africa
LCA,North America
LIE,Europe
LTU,Europe
LUX,Europe
MAC,Asia
MAD,Africa
MAF,North America
MAR,Africa
MAS,Asia
MAW,Africa
MDA,Europe
MDV,Asia
MEX,North America
MGL,Asia
MHL,Oceania
MKD,Europe
MLI,Africa
MLT,Europe
MNE,Europe
MNP,Oceania
MON,Europe
MOZ,Africa
MRI,Africa
MSR,North America
MTQ,North America
MYA,Asia
MYT,Africa
NAM,Africa
NCA,Oceania
NCL,Oceania
NED,Europe
NEP,Asia
NFK,Oceania
NGR,Africa
NIG,Africa
NIU,Oceania
NOR,Europe
NRU,Oceania
NZL,Oceania
OMA,Asia
PAK,Asia
PAN,North America
PAR,South America
PCN,Oceania
PER,South America
PHI,Asia
PLE,Asia
PLW,Oceania
PNG,Oceania
POL,Europe
POR,Europe
PRK,Asia
PUR,North America
PYF,Oceania
QAT,Asia
REU,Africa
ROU,Europe
RSA,Africa
RUS,Europe/Asia
RWA,Africa
SAM,Oceania
SCG,Europe
SEN,Africa
SEY,Africa
SGP,Asia
SGS,Antarctica
SHN,Africa
SJM,Europe
SKN,North America
SLE,Africa
SLO,Europe
SMR,Europe
SOL,Oceania
SOM,Africa
SPM,North America
SRB,Europe
SRI,Asia
SSD,Africa
STP,Africa
SUD,Africa
SUI,Europe
SUR,South America
SVK,Europe
SWE,Europe
SWZ,Africa
SXM,North America
SYR,Asia
TAN,Africa
TCA,North America
TGA,Oceania
THA,Asia
TJK,Asia
TKL,Oceania
TKM,Asia
TLS,Asia
TOG,Africa
TPE,Asia
TTO,North America
TUN,Africa
TUR,Asia/Europe
TUV,Oceania
UAE,Asia
UGA,Africa
UKR,Europe
UMI,Oceania
URU,South America
USA,North America
UZB,Asia
VAN,Oceania
VAT,Europe
VEN,South America
VIE,Asia
VIN,North America
WLF,Oceania
XKX,Europe
YEM,Asia
ZAM,Africa
ZIM,Africa
