Category,Age Group
15-19,18-24
18,18-24
18-29,18-24
20-24,18-24
25-29,25-29
25-30,25-29
30-34,30-39
30-35,30-39
30-39,30-39
35,30-39
35-39,30-39
35-40,30-39
40-44,40-49
40-45,40-49
40-49,40-49
45-49,40-49
45-50,40-49
50+,50-59
50-54,50-59
55-59,50-59
60-64,60-69
65-69,60-69
70-74,70-79
75-79,70-79
CORPC,Other
CORPF,Other
CORPM,Other
F,Other
F+ALL,Other
F+ALLWINNER,Other
F01-19,18-24
F0-18,18-24
F10-16,Other
F10-18,18-24
F12-15,Other
F12-18,18-24
F14-15,Other
F14-16,Other
F14-17,Other
F14-19,18-24
F14-20,18-24
F14-24,18-24
F15,Other
F15-17,Other
F15-18,18-24
F15-19,18-24
F15-19AGSUPERSPRINT,18-24
F15-29,25-29
F16,Other
F16-17,Other
F16-18,18-24
F16-19,18-24
F16-19AG,18-24
F16-19AGSPRINT,18-24
F16-24,18-24
F16-29,25-29
F17,Other
F17-18,18-24
F17-19,18-24
F17-20,18-24
F17-24,18-24
F17-39,30-39
F18,18-24
F18+,18-24
F18-19,18-24
F18-19AG,18-24
F18-20,18-24
F18-22,18-24
F18-23,18-24
F18-24,18-24
F18-29,18-24
F18-30,18-24
F18-34,18-24
F18-39,18-24
F18-49,18-24
F18-50,18-24
F19,18-24
F19-23,18-24
F19-29,18-24
F19-39,18-24
F19UND,18-24
F20,18-24
F20-22,18-24
F20-24,18-24
F20-24AG,18-24
F20-24AGSPRINT,18-24
F20-24AGSUPERSPRINT,18-24
F20-25,18-24
F20-29,18-24
F20-34,18-24
F20-39,18-24
F21-30,18-24
F21-39,18-24
F23,18-24
F23-29,18-24
F23-34,18-24
F23-39,18-24
F24,18-24
F24-,18-24
F24-29,18-24
F24-34,18-24
F24-39,18-24
F25,25-29
F25-29,25-29
F25-29AG,25-29
F25-29AGSPRINT,25-29
F25-29AGSUPERSPRINT,25-29
F25-29F,25-29
F25-30,25-29
F25-34,25-29
F25-39,25-29
F29,25-29
F30,30-39
F30+,30-39
F30-34,30-39
F30-34-34,30-39
F30-34AG,30-39
F30-34AGSPRINT,30-39
F30-34AGSUPERSPRINT,30-39
F30-34F,30-39
F30-35,30-39
F30-39,30-39
F30-40,30-39
F30-41,30-39
